id,word,difficulty,definition,sentence
1,tag,1,A game where you chase and touch someone,We played tag at recess and I was it three times.
2,send,1,To make something go to someone else,I will send a letter to my grandma for her birthday.
3,deck,1,A flat outdoor area attached to a house,We ate lunch on the deck in our backyard.
4,stuck,1,Unable to move or get free,My toy car got stuck under the couch.
5,snug,1,Warm and cozy or fitting tightly,The blanket felt snug and warm on the cold night.
6,fish,1,An animal that lives and swims in water,I saw a colorful fish swimming in the pond.
7,hold,1,To have something in your hands or arms,Please hold my bag while I tie my shoe.
8,mind,1,The part of you that thinks and remembers,I changed my mind about what to have for lunch.
9,stay,1,To remain in one place,My dog will stay here while I go to school.
10,scrub,1,To clean something by rubbing it hard,Mom asked me to scrub the dirty dishes.
11,draw,1,To make a picture with pencils or crayons,I like to draw animals in my sketchbook.
12,brown,1,A dark color like chocolate or dirt,The puppy had soft brown fur.
13,cozy,1,Comfortable and warm,My bedroom feels cozy with all my stuffed animals.
14,tint,1,A light shade or small amount of color,The sky had a pink tint at sunset.
15,milk,1,A white drink that comes from cows,I poured milk on my cereal this morning.
16,yawn,1,To open your mouth wide when tired,I always yawn when it's time for bed.
17,tank,1,A large container for water or other liquids,The fish swam happily in their tank.
18,want,1,To wish for something,I want a new bike for my birthday.
19,crowd,1,A large group of people together,There was a big crowd at the soccer game.
20,pond,1,A small lake with still water,We saw frogs and turtles at the pond.
21,skirt,1,Clothing that hangs from the waist,She wore a blue skirt to school today.
22,sharks,1,Large fish with sharp teeth that live in the ocean,We learned about sharks at the aquarium.
23,quilt,1,A warm blanket made from pieces of fabric,Grandma made me a quilt with bright colors.
24,twigs,1,Small thin branches from a tree,The bird used twigs to build its nest.
25,taffy,1,A chewy candy that is stretched when made,We bought saltwater taffy at the beach.
26,comfy,1,Comfortable and relaxing,These pajamas are so comfy I could sleep in them all day.
27,stretch,1,To make something longer by pulling it,The cat likes to stretch after a nap.
28,tight,1,Fitting closely or hard to move,The lid on the jar was too tight to open.
29,candy,1,Sweet food made with sugar,I got candy on Halloween.
30,scrunch,1,To squeeze or crush into a smaller space,I had to scrunch my clothes to fit them in my backpack.
31,ruby,1,A red precious stone used in jewelry,The ring had a beautiful red ruby in it.
32,close,1,To shut something or near in distance,Please close the door when you leave.
33,tackle,1,To grab and hold someone or solve a problem,The football player made a great tackle.
34,wire,1,A thin metal thread used to carry electricity,The bird sat on the telephone wire.
35,skater,1,Someone who glides on ice or wheels,The ice skater did a perfect spin.
36,giant,1,Something or someone very big,The giant tree was the tallest in the forest.
37,bucket,1,A container with a handle for carrying water,I filled the bucket with water for the plants.
38,chance,1,A possibility or opportunity,This is your chance to try something new.
39,baskets,1,Containers made of woven materials,We carried the fruit home in baskets.
40,tender,1,Soft and gentle or easily chewed,The meat was tender and delicious.
41,paste,1,A thick wet mixture used to stick things,We used paste to glue the paper together.
42,melon,1,A large sweet fruit with lots of juice,The watermelon was cold and refreshing on a hot day.
43,farmer,1,A person who grows crops and raises animals,The farmer fed the chickens every morning.
44,parent,1,A mother or father,My parent helps me with my homework.
45,tail,1,The part that sticks out from an animal's rear,The dog wagged its tail happily.
46,hockey,1,A sport played on ice with sticks and a puck,My brother plays hockey every Saturday.
47,slime,1,A wet slippery substance,We made green slime in science class.
48,insects,1,Small animals with six legs like ants and bees,We saw many insects in the garden.
49,teeth,1,The hard white parts in your mouth for biting,You should brush your teeth twice a day.
50,shortcut,1,A quicker way to get somewhere,We took a shortcut through the park.
51,bait,1,Food used to catch fish or animals,We put worms on the hook as bait.
52,lure,1,Something that attracts or tempts,The shiny lure helped us catch a big fish.
53,cluster,1,A group of things close together,There was a cluster of grapes on the vine.
54,forest,1,A large area filled with trees,We went hiking in the forest and saw deer.
55,hollow,1,Having an empty space inside,The rabbit lived in a hollow log.
56,spinning,1,Turning around quickly,The top kept spinning on the table.
57,baffling,1,Very confusing or puzzling,The magic trick was baffling and amazing.
58,sizzling,1,Making a hissing sound while cooking,The bacon was sizzling in the pan.
59,hoist,1,To lift or raise something up,We had to hoist the flag up the pole.
60,search,1,To look carefully for something,I had to search my room to find my lost shoe.
61,remind,1,To help someone remember something,Please remind me to bring my lunch tomorrow.
62,mango,1,A sweet tropical fruit with orange flesh,The mango was juicy and delicious.
63,coral,1,A hard substance made by tiny sea animals,The coral reef was full of colorful fish.
64,jangle,1,To make a ringing metallic sound,The keys jangle in my pocket when I walk.
65,shimmer,1,To shine with a soft flickering light,The lake seemed to shimmer in the sunlight.
66,blossoms,1,Flowers on a tree or plant,The cherry blossoms were pink and beautiful.
67,swampy,1,Wet and muddy like a swamp,The ground was swampy after all the rain.
68,studded,1,Decorated with small pieces sticking out,Her jacket was studded with silver buttons.
69,focus,1,To pay close attention to something,I need to focus on my math homework.
70,distress,1,Great worry or pain,The lost puppy was in distress.
71,lessons,1,Times when you learn something new,I have piano lessons every Tuesday.
72,moment,1,A very short amount of time,Wait just a moment while I get my coat.
73,ajar,1,Slightly open,The door was left ajar so the cat could come in.
74,basil,1,An herb with green leaves used in cooking,We added fresh basil to the spaghetti sauce.
75,triple,1,Three times as much,I got a triple scoop of ice cream.
76,satin,1,A smooth shiny fabric,The dress was made of pink satin.
77,ahoy,1,A greeting used by sailors,The pirate shouted ahoy to the ship.
78,signal,1,A sign or gesture that gives information,The traffic signal turned green.
79,answer,1,A reply to a question,I raised my hand to answer the question.
80,shuffle,1,To mix cards or walk without lifting your feet,I shuffle the cards before dealing them.
81,dollop,1,A small lump or portion of soft food,I put a dollop of whipped cream on my pie.
